Instance;min_sol;max_LB
25x2_4_U_100_200__R_uni;1688;1625
25x2_5_JobCorre_R_inter;894;746
25x2_5_JobCorre_R_uni;768;739
25x2_5_MachCorre_R_inter;1259;958
25x2_5_MachCorre_R_uni;1099;1044
25x2_5_U_1_100__R_inter;490;460
25x2_5_U_1_100__R_uni;576;550
25x2_5_U_10_100__R_inter;577;538
25x2_5_U_10_100__R_uni;647;611
25x2_5_U_100_200__R_inter;1805;1727
25x2_5_U_100_200__R_uni;1967;1795
25x4_1_JobCorre_R_inter;355;326
25x4_1_JobCorre_R_uni;427;400
25x4_1_MachCorre_R_inter;286;286
25x4_1_MachCorre_R_uni;145;145
25x4_1_U_1_100__R_inter;132;132
25x4_1_U_1_100__R_uni;169;157
25x4_1_U_10_100__R_inter;175;175
25x4_1_U_10_100__R_uni;199;199
